Date,Action,Time Taken
23-03-2012 16:57:22,AuctionTimeout,3.0001
23-03-2012 16:57:22,VacationTimeout,2.0001
23-03-2012 16:57:22,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 10:20:47,FleetMovement,3327.1903
26-03-2012 10:20:48,AuctionTimeout,47.0027
26-03-2012 10:20:48,VacationTimeout,79.0045
26-03-2012 10:20:48,AutoStartVacationsHandler,100.0057
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 10:30:51,FleetMovement,3001.1717
26-03-2012 10:30:51,AuctionTimeout,9.0005
26-03-2012 10:30:51,VacationTimeout,4.0002
26-03-2012 10:30:51,AutoStartVacationsHandler,12.0007
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 10:40:55,FleetMovement,3053.1746
26-03-2012 10:40:55,AuctionTimeout,8.0004
26-03-2012 10:40:55,VacationTimeout,4.0002
26-03-2012 10:40:55,AutoStartVacationsHandler,5.0003
26-03-2012 10:40:55,EndBounties,59.0034
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 10:50:55,FleetMovement,3218.184
26-03-2012 10:50:55,AuctionTimeout,3.0002
26-03-2012 10:50:56,VacationTimeout,5.0003
26-03-2012 10:50:56,AutoStartVacationsHandler,4.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:00:55,FleetMovement,3131.1791
26-03-2012 11:00:55,AuctionTimeout,3.0002
26-03-2012 11:00:55,VacationTimeout,2.0001
26-03-2012 11:00:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:10:55,FleetMovement,3357.1921
26-03-2012 11:10:56,AuctionTimeout,3.0002
26-03-2012 11:10:56,VacationTimeout,2.0002
26-03-2012 11:10:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:20:54,FleetMovement,2792.1597
26-03-2012 11:20:55,AuctionTimeout,3.0002
26-03-2012 11:20:55,VacationTimeout,2.0001
26-03-2012 11:20:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:30:55,FleetMovement,3532.202
26-03-2012 11:30:56,AuctionTimeout,3.0002
26-03-2012 11:30:56,VacationTimeout,6.0003
26-03-2012 11:30:56,AutoStartVacationsHandler,5.0002
26-03-2012 11:30:56,EndBounties,4.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:40:55,FleetMovement,3462.1981
26-03-2012 11:40:56,AuctionTimeout,3.0002
26-03-2012 11:40:56,VacationTimeout,2.0002
26-03-2012 11:40:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 11:50:55,FleetMovement,3107.1777
26-03-2012 11:50:55,AuctionTimeout,3.0001
26-03-2012 11:50:55,VacationTimeout,2.0001
26-03-2012 11:50:55,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:00:55,FleetMovement,3755.2148
26-03-2012 12:00:56,AuctionTimeout,3.0002
26-03-2012 12:00:56,VacationTimeout,2.0001
26-03-2012 12:00:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:10:55,FleetMovement,3130.179
26-03-2012 12:10:55,AuctionTimeout,3.0002
26-03-2012 12:10:55,VacationTimeout,2.0001
26-03-2012 12:10:55,AutoStartVacationsHandler,2.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:20:55,FleetMovement,3248.1858
26-03-2012 12:20:56,AuctionTimeout,3.0001
26-03-2012 12:20:56,VacationTimeout,2.0001
26-03-2012 12:20:56,AutoStartVacationsHandler,2.0001
26-03-2012 12:20:56,EndBounties,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:30:55,FleetMovement,3295.1885
26-03-2012 12:30:56,AuctionTimeout,3.0002
26-03-2012 12:30:56,VacationTimeout,3.0002
26-03-2012 12:30:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:40:55,FleetMovement,3353.1918
26-03-2012 12:40:56,AuctionTimeout,3.0002
26-03-2012 12:40:56,VacationTimeout,2.0001
26-03-2012 12:40:56,AutoStartVacationsHandler,2.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 12:50:55,FleetMovement,3661.2094
26-03-2012 12:50:56,AuctionTimeout,3.0002
26-03-2012 12:50:56,VacationTimeout,2.0001
26-03-2012 12:50:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:00:55,FleetMovement,3230.1847
26-03-2012 13:00:55,AuctionTimeout,3.0002
26-03-2012 13:00:56,VacationTimeout,6.0003
26-03-2012 13:00:56,AutoStartVacationsHandler,5.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:10:54,FleetMovement,2724.1558
26-03-2012 13:10:55,AuctionTimeout,3.0002
26-03-2012 13:10:55,VacationTimeout,2.0001
26-03-2012 13:10:55,AutoStartVacationsHandler,2.0001
26-03-2012 13:10:55,EndBounties,1.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:20:55,FleetMovement,3724.213
26-03-2012 13:20:56,AuctionTimeout,3.0002
26-03-2012 13:20:56,VacationTimeout,28.0016
26-03-2012 13:20:56,AutoStartVacationsHandler,2.0001
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:30:55,FleetMovement,2957.1691
26-03-2012 13:30:55,AuctionTimeout,3.0002
26-03-2012 13:30:55,VacationTimeout,2.0001
26-03-2012 13:30:55,AutoStartVacationsHandler,3.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:40:55,FleetMovement,3255.1862
26-03-2012 13:40:56,AuctionTimeout,2.0001
26-03-2012 13:40:56,VacationTimeout,5.0003
26-03-2012 13:40:56,AutoStartVacationsHandler,4.0002
Number of moving fleet:,0,In a total of:,1
Number of moving fleet:,0,In a total of:,1
26-03-2012 13:50:55,FleetMovement,3382.1934
26-03-2012 13:50:56,AuctionTimeout,3.0001
26-03-2012 13:50:56,VacationTimeout,2.0001
